Date,K1,K13,K14,K18,K19,K27,K31,K32,K35,K36,K38,K39,K40,K41,K43,K44,K45,K47,K48,K49,K50,K51,K53,K54,K55,K56,K58,K7,K9
2015-01,1811.954956,1813.207275,1886.010376,1505.468262,1517.122314,1466.285645,1464.152466,1462.188965,1469.137695,1465.676758,1501.561401,1508.385864,1631.673462,1632.171753,1554.32666,1549.96936,1476.430176,1471.261475,1473.773071,1474.190674,1475.34082,1468.359009,1472.021606,1876.834839,1867.888062,1866.671021,1848.431763,1506.455811,1891.233887
2015-03,1809.599243,1810.762695,1885.469849,1504.950317,1516.758545,1466.135254,1463.326416,1461.820313,1468.710815,1465.211182,1500.281128,1508.245239,1631.271606,1631.721191,1553.534424,1549.154541,1475.190674,1470.80835,1473.168213,1472.756104,1473.504272,1467.812012,1470.977051,1875.822388,1866.931396,1865.703735,1847.052002,1505.979614,1890.050781
2015-05,1807.853394,1809.01355,1883.11438,1504.672241,1515.32373,1465.70166,1462.879028,1458.496216,1468.473999,1463.108521,1500.606201,1507.701172,1630.524292,1627.937866,1553.014893,1544.521118,1473.360962,1469.704468,1472.001709,1471.346802,1472.194214,1467.355469,1469.614746,1874.38562,1865.681885,1865.576172,1845.726685,1505.68396,1889.311279
2015-06,1808.822876,1810.084839,1882.342896,1504.098755,1514.721924,1464.992188,1461.901855,1459.510132,1467.966309,1463.031616,1499.250854,1507.621826,1629.598145,1630.550293,1550.734253,1546.136841,1472.32019,1468.19873,1470.612671,1470.902954,1472.91626,1465.94104,1468.766602,1873.298828,1864.473145,1863.28894,1845.068237,1504.869263,1887.665527
2015-07,1809.439209,1810.925293,1881.435425,1503.802002,1514.076294,1464.628296,1461.392334,1459.305054,1467.70105,1462.953247,1499.484131,1507.573242,1629.614746,1632.238281,1552.055664,1547.465332,1470.92749,1467.603516,1470.447998,1470.527588,1473.420044,1466.517456,1467.813232,1872.166138,1863.258057,1862.125488,1844.64624,1504.481812,1886.746948
2015-08,1809.943359,1811.682251,1880.608887,1503.49292,1513.511841,1464.353882,1461.016602,1459.297363,1467.439819,1462.871582,1499.807373,1507.51709,1629.709106,1633.627319,1553.363281,1548.769043,1470.19519,1467.114624,1470.411377,1470.250244,1473.846191,1466.996704,1467.093262,1871.231079,1862.358643,1861.264893,1844.53833,1504.222656,1885.791626
2015-09,1810.325562,1812.297729,1879.803101,1503.174072,1513.026123,1464.104248,1460.738403,1459.098022,1467.186279,1462.726074,1500.077026,1507.443359,1629.828003,1634.74231,1554.603882,1550.001831,1469.479126,1466.718872,1470.353516,1469.984375,1474.170654,1467.361328,1466.630249,1870.395874,1861.629395,1860.547485,1844.462524,1503.964844,1884.825806
2015-10,1807.945313,1809.81189,1879.088745,1502.87915,1512.651123,1463.911377,1460.331787,1456.548828,1466.963867,1461.595215,1498.95459,1507.162842,1629.342285,1631.047974,1551.631714,1547.029907,1469.456787,1466.064209,1469.443481,1469.086914,1472.366577,1465.401978,1466.220581,1869.91394,1861.257935,1860.142822,1843.500366,1503.674927,1883.95813
2015-11,1806.276611,1807.93457,1878.309326,1502.587646,1512.281738,1463.713257,1459.932007,1455.098145,1466.739502,1460.521118,1497.858398,1506.871704,1628.735229,1628.898682,1549.471069,1544.779053,1468.908447,1465.377686,1468.331665,1468.107178,1471.032593,1463.989502,1465.687378,1869.387695,1860.769775,1859.62915,1842.388062,1503.369751,1883.110962
2015-12,1805.640991,1807.19104,1878.164917,1502.360962,1512.009155,1463.780518,1459.702026,1454.879883,1466.630737,1459.999634,1497.407471,1506.734619,1628.395264,1628.598999,1548.708618,1543.928955,1468.731934,1464.949463,1467.545288,1467.466309,1470.474731,1463.438232,1465.378418,1869.352661,1860.768433,1859.621948,1842.174194,1503.206543,1882.614502
